cid,text,time,author,channel,votes,time_parsed
UgzzxomnxdhtDUA1Lwl4AaABAg.AFPFIvxHRb-AFQAQ-2VsBf,"@ en islam, tu vas pas dans l’appartement d’une meuf en privée si c’est pas ta femme. (En one to one)",3 days ago (edited),@Baguiguane,UCqptvHReMLP12uBKlYTjFFg,0,1741536486.475647
UgzzxomnxdhtDUA1Lwl4AaABAg.AFPFIvxHRb-AFQTN7ORc4e,Grave ! Ils sont complètement cinglés avec la religion,3 days ago,@Bouillebouboule,UCmHfytv4FnQCIhRkA4MFRrw,0,1741536486.477239
UgzzxomnxdhtDUA1Lwl4AaABAg.AFPFIvxHRb-AFRmYm8Zwqo, @Baguiguane tqt pas il y a bien ont bien fait zinna dans tout l’appart,3 days ago,@Azurasmar0,UCGVds5-1K1pNqtVeTxRjlRQ,0,1741536486.478675
UgzzxomnxdhtDUA1Lwl4AaABAg.AFPFIvxHRb-AFRmi8upYxM,"Ton Billy il est dans la religion mais ne s’occupe que de sa communeauté les ptits ukrainiens mahorais et autres kuffr il n’y est pas sensible, c’est donc ça la fameuse humanité des musulmans…",3 days ago,@Azurasmar0,UCGVds5-1K1pNqtVeTxRjlRQ,0,1741536486.48015
UgzzxomnxdhtDUA1Lwl4AaABAg.AFPFIvxHRb-AFTIIZKs-Qi, @Azurasmar0 mais toi tu sais pas ce que ça veut dire garder le bon soupçon ?,2 days ago,@Hindd_elm,UCODjZXbZLZNuyzITUzDrX-g,0,1741622886.482248
UgwUd4LRNArUf1oV1th4AaABAg.AFPDWEbQZzYAFT5cWNdZrP, @elhenwhe  BAHAHHA THAT'S EXACTLY HIM  🤣🤣,2 days ago,@Ducacadequalite,UC3JUyaOay7q9FgYn6lvxFXw,8,1741622886.703744
UgwUd4LRNArUf1oV1th4AaABAg.AFPDWEbQZzYAFTDAcxvxk1,"Don't say that he's like a brother, U'll make him cry",2 days ago,@KingofTheDarkestSprings,UCFpEwwAijlxvHo8xsEuuLtg,3,1741622886.705899
UgzLX4r270hywVEVRDV4AaABAg.AFP72hFAi5LAFPJOU3T7pf,Surtout avec une baignoire dans la chambre j'imagine pas l'humidité,4 days ago,@MrMerildoll,UCaD0K4_4mnsNH2M1lPsbMxg,56,1741453686.925781
UgzLX4r270hywVEVRDV4AaABAg.AFP72hFAi5LAFRfM21iZu3,Ça sert aussi à absorber les énergies négatives,3 days ago,@Moso24,UCyMdHnTOmkZLXQF4-HcqrBg,11,1741536486.928038
UgzLX4r270hywVEVRDV4AaABAg.AFP72hFAi5LAFRhSFwvjNJ,"​ @Moso24 ça ne marche pas ce truc, après chacun ses croyances 😅 ma mère faisait toujours ça mdrr",3 days ago,@aexma,UCrLV4ZQglD1ch85MZfbyKbA,4,1741536486.930568
UgzLX4r270hywVEVRDV4AaABAg.AFP72hFAi5LAFTKzZrj7H2, @Moso24  plutôt vital je pense mdr,2 days ago,@Yannse667,UCUGw46P6H61NXTovxUPBU5w,0,1741622886.9333
UgzLX4r270hywVEVRDV4AaABAg.AFP72hFAi5LAFU-h5gApKG," @aexma  après dans le contexte de la vidéo le bol de sel était placé sous le lit et non proche de la baignoire, le sel a une portée très courte pour absorber l'humidité il faut la placé proche de l'endroit où c'est le plus humide. Et le bol de sel placé sous le lit ça signifie en premier lieu que ça sert à absorber les énergies négatives et à éviter les cauchemars. En même temps l'appartement à plusieurs siècles donc pas étonnant qu'il peut y avoir des énergies négatives.",2 days ago,@Moso24,UCyMdHnTOmkZLXQF4-HcqrBg,3,1741622886.935262
UgzLX4r270hywVEVRDV4AaABAg.AFP72hFAi5LAFUmKDW4ZqT,"Non, ils font sorcellerie sur toi... lol",2 days ago,@claudemoney6798,UCXejGsYJq9EbDXyFLEZTyww,1,1741622886.93715
UgzLX4r270hywVEVRDV4AaABAg.AFP72hFAi5LAFUvXiQXsTp,"Alors ca fait 3 ans que je vis sous un escalier avec une seule fenetre, j'aurais tellement aimé savoir ça au début mdrrrr",2 days ago,@PowwerPulse,UCRTndi0VsZi8ocbUzZxHPeg,0,1741622886.938915
UgzLX4r270hywVEVRDV4AaABAg.AFP72hFAi5LAFV8FxBZR7f, @Moso24  Ok mais on est pas dans Harry Potter,1 day ago,@anv6250,UCBxyiSAPMqz3IdCSH0yPEsQ,1,1741709286.941337
UgzLX4r270hywVEVRDV4AaABAg.AFP72hFAi5LAFVVJhJqC09, @Moso24  Scuze nous Harry Potter,1 day ago,@WooDfr,UCUIxMiF05K_EE0nC6hZHUww,1,1741709286.942174
UgxY9ojpITL5xqdHVrB4AaABAg,uso buautiful🥰,4 days ago,@kadaiil,UC-0SFaJYjUazg178rbHzh-Q,0,1741453687.297619
UgwAeZ2pxmi0A7r7aZR4AaABAg,amine tu veux,4 days ago,@bakary_japon,UCQg7YSAjPmY_y6dOHcld9OQ,0,1741453687.29998
Ugz-T8oCoOYgjSOjk9d4AaABAg,Amine le singe 🦧🦧🤣,4 days ago,@Amadis-x1o,UC5yniXrcZ9uYCX_rxW-hbHw,0,1741453687.30069
UgwAnCbioCGHJersgEB4AaABAg,"14:50 it's Lord Krishna, Hindu god",4 days ago,@antishcanhye393,UCYcgYkpCYd57TG6ubHB769Q,0,1741453687.30131
